--- scanner 0 ---
629,879,599
537,-422,-909
336,-542,718
360,-562,806
-719,403,-777
-563,628,363
-694,-559,376
574,-351,-962
-490,-830,-917
593,806,503
708,801,463
-850,370,-818
662,960,-958
607,-317,-887
-731,-740,327
619,867,-879
492,905,-947
-862,443,-676
-680,555,402
-54,104,-16
-782,-604,301
-492,-664,-797
-553,-795,-758
-635,693,486
295,-655,741

--- scanner 25 ---
-638,430,749
361,-836,-416
527,-716,-418
-26,2,127
-704,404,819
-484,-506,489
629,887,434
451,408,-657
-544,322,802
-513,-556,-705
587,382,-708
649,799,410
840,-881,648
769,-828,611
-488,-569,-810
632,457,-620
396,-677,-479
150,84,39
-586,-427,490
536,822,369
-520,753,-820
874,-806,681
-592,-526,559
-407,-460,-766
57,-83,-55
-552,746,-796
-468,677,-830
